"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02148V02965","Type of Animal","C02196V04140","Region","UNIT","VALUE"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE04","Northern and Western","000 Head","155"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE041","Border","000 Head","99.2"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE042","West","000 Head","55.8"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE05","Southern","000 Head","943.5"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE051","Mid-West","000 Head","286.6"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE052","South-East","000 Head","219.6"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE053","South-West","000 Head","437.4"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE06","Eastern and Midland","000 Head","197.3"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE06106","Dublin and Mid-East","000 Head","103.9"
"AAA09","Number of Livestock in June","2015","2015","01111","Dairy cows","IE063","Midland","000 Head","93.3"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","-","State","000 Head","1075.8"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE04","Northern and Western","000 Head","419.5"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE041","Border","000 Head","177.6"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE042","West","000 Head","241.9"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE05","Southern","000 Head","420.6"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE051","Mid-West","000 Head","176.5"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE052","South-East","000 Head","115.3"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE053","South-West","000 Head","128.7"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE06","Eastern and Midland","000 Head","235.8"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE06106","Dublin and Mid-East","000 Head","99.3"
"AAA09","Number of Livestock in June","2015","2015","01112","Other cows","IE063","Midland","000 Head","136.5"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","-","State","000 Head","55.7"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE04","Northern and Western","000 Head","18.1"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE041","Border","000 Head","8.5"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE042","West","000 Head","9.6"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE05","Southern","000 Head","27"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE051","Mid-West","000 Head","10.3"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE052","South-East","000 Head","6.4"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE053","South-West","000 Head","10.3"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE06","Eastern and Midland","000 Head","10.6"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE06106","Dublin and Mid-East","000 Head","4.5"
"AAA09","Number of Livestock in June","2015","2015","0113","Bulls","IE063","Midland","000 Head","6"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","-","State","000 Head","801.7"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE04","Northern and Western","000 Head","204"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE041","Border","000 Head","82.6"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE042","West","000 Head","121.4"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE05","Southern","000 Head","372.5"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE051","Mid-West","000 Head","158.9"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE052","South-East","000 Head","98.2"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE053","South-West","000 Head","115.5"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE06","Eastern and Midland","000 Head","225.1"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE06106","Dublin and Mid-East","000 Head","108.9"
"AAA09","Number of Livestock in June","2015","2015","0133","Cattle: 2 years and over","IE063","Midland","000 Head","116.3"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","-","State","000 Head","417.3"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE04","Northern and Western","000 Head","88.3"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE041","Border","000 Head","32.1"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE042","West","000 Head","56.2"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE05","Southern","000 Head","209.1"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE051","Mid-West","000 Head","94.7"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE052","South-East","000 Head","55.4"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE053","South-West","000 Head","59"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE06","Eastern and Midland","000 Head","119.8"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE06106","Dublin and Mid-East","000 Head","59.2"
"AAA09","Number of Livestock in June","2015","2015","01331","Cattle male: 2 years and over","IE063","Midland","000 Head","60.6"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","-","State","000 Head","384.4"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE04","Northern and Western","000 Head","115.7"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE041","Border","000 Head","50.5"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE042","West","000 Head","65.2"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE05","Southern","000 Head","163.4"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE051","Mid-West","000 Head","64.1"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE052","South-East","000 Head","42.7"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE053","South-West","000 Head","56.6"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE06","Eastern and Midland","000 Head","105.3"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE06106","Dublin and Mid-East","000 Head","49.6"
"AAA09","Number of Livestock in June","2015","2015","01332","Cattle female: 2 years and over","IE063","Midland","000 Head","55.7"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","-","State","000 Head","1692.3"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE04","Northern and Western","000 Head","399.6"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE041","Border","000 Head","182.7"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE042","West","000 Head","216.8"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE05","Southern","000 Head","890.2"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE051","Mid-West","000 Head","323.2"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE052","South-East","000 Head","260.3"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE053","South-West","000 Head","306.6"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE06","Eastern and Midland","000 Head","402.6"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE06106","Dublin and Mid-East","000 Head","179.4"
"AAA09","Number of Livestock in June","2015","2015","0134","Cattle: 1-2 years","IE063","Midland","000 Head","223.2"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","-","State","000 Head","776.8"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE04","Northern and Western","000 Head","179.5"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE041","Border","000 Head","81.1"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE042","West","000 Head","98.3"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE05","Southern","000 Head","405.9"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE051","Mid-West","000 Head","155.7"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE052","South-East","000 Head","125.1"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE053","South-West","000 Head","125.1"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE06","Eastern and Midland","000 Head","191.5"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE06106","Dublin and Mid-East","000 Head","84.2"
"AAA09","Number of Livestock in June","2015","2015","01341","Cattle male: 1-2 years","IE063","Midland","000 Head","107.3"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","-","State","000 Head","915.5"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE04","Northern and Western","000 Head","220.1"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE041","Border","000 Head","101.6"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE042","West","000 Head","118.5"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE05","Southern","000 Head","484.3"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE051","Mid-West","000 Head","167.5"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE052","South-East","000 Head","135.2"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE053","South-West","000 Head","181.5"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE06","Eastern and Midland","000 Head","211.1"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE06106","Dublin and Mid-East","000 Head","95.2"
"AAA09","Number of Livestock in June","2015","2015","01342","Cattle female: 1-2 years","IE063","Midland","000 Head","115.9"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","-","State","000 Head","2042.2"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE04","Northern and Western","000 Head","527.7"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE041","Border","000 Head","243"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE042","West","000 Head","284.7"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE05","Southern","000 Head","1096.3"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE051","Mid-West","000 Head","402.8"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE052","South-East","000 Head","292.9"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE053","South-West","000 Head","400.6"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE06","Eastern and Midland","000 Head","418.3"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE06106","Dublin and Mid-East","000 Head","182.4"
"AAA09","Number of Livestock in June","2015","2015","0135","Cattle: under 1 year","IE063","Midland","000 Head","235.8"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","-","State","000 Head","994.4"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE04","Northern and Western","000 Head","260.6"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE041","Border","000 Head","118.8"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE042","West","000 Head","141.8"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE05","Southern","000 Head","525.4"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE051","Mid-West","000 Head","202.4"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE052","South-East","000 Head","143.6"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE053","South-West","000 Head","179.4"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE06","Eastern and Midland","000 Head","208.5"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE06106","Dublin and Mid-East","000 Head","88.4"
"AAA09","Number of Livestock in June","2015","2015","01351","Cattle male: under 1 year","IE063","Midland","000 Head","120.1"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","-","State","000 Head","1047.8"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE04","Northern and Western","000 Head","267.1"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE041","Border","000 Head","124.2"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE042","West","000 Head","142.9"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE05","Southern","000 Head","570.9"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE051","Mid-West","000 Head","200.4"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE052","South-East","000 Head","149.3"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE053","South-West","000 Head","221.2"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE06","Eastern and Midland","000 Head","209.8"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE06106","Dublin and Mid-East","000 Head","94.1"
"AAA09","Number of Livestock in June","2015","2015","01352","Cattle female: under 1 year","IE063","Midland","000 Head","115.7"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","-","State","000 Head","2244.2"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE04","Northern and Western","000 Head","546.5"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE041","Border","000 Head","240.5"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE042","West","000 Head","306"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE05","Southern","000 Head","1167.4"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE051","Mid-West","000 Head","463.1"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE052","South-East","000 Head","330.5"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE053","South-West","000 Head","373.8"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE06","Eastern and Midland","000 Head","530.3"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE06106","Dublin and Mid-East","000 Head","236.3"
"AAA09","Number of Livestock in June","2015","2015","0136","Total cattle: male","IE063","Midland","000 Head","294"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","-","State","000 Head","4719.3"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE04","Northern and Western","000 Head","1177.4"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE041","Border","000 Head","553.1"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE042","West","000 Head","624.3"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE05","Southern","000 Head","2582.7"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE051","Mid-West","000 Head","895.2"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE052","South-East","000 Head","662.1"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE053","South-West","000 Head","1025.4"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE06","Eastern and Midland","000 Head","959.2"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE06106","Dublin and Mid-East","000 Head","442.1"
"AAA09","Number of Livestock in June","2015","2015","0137","Total cattle: female","IE063","Midland","000 Head","517.1"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","-","State","000 Head","5138.7"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE04","Northern and Western","000 Head","2472.1"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE041","Border","000 Head","1080.7"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE042","West","000 Head","1391.4"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE05","Southern","000 Head","1507.4"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE051","Mid-West","000 Head","202.8"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE052","South-East","000 Head","580.4"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE053","South-West","000 Head","724.2"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE06","Eastern and Midland","000 Head","1159.3"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE06106","Dublin and Mid-East","000 Head","837.7"
"AAA09","Number of Livestock in June","2015","2015","02","Total sheep","IE063","Midland","000 Head","321.5"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","-","State","000 Head","2563.9"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE04","Northern and Western","000 Head","1235.1"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE041","Border","000 Head","546.3"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE042","West","000 Head","688.8"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE05","Southern","000 Head","760"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE051","Mid-West","000 Head","108.5"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE052","South-East","000 Head","290.2"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE053","South-West","000 Head","361.4"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE06","Eastern and Midland","000 Head","568.8"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE06106","Dublin and Mid-East","000 Head","412.5"
"AAA09","Number of Livestock in June","2015","2015","021","Breeding sheep","IE063","Midland","000 Head","156.2"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","-","State","000 Head","2488.1"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE04","Northern and Western","000 Head","1197.1"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE041","Border","000 Head","530.1"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE042","West","000 Head","667"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE05","Southern","000 Head","738.6"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE051","Mid-West","000 Head","104.9"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE052","South-East","000 Head","282.6"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE053","South-West","000 Head","351.2"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE06","Eastern and Midland","000 Head","552.3"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE06106","Dublin and Mid-East","000 Head","400.5"
"AAA09","Number of Livestock in June","2015","2015","0211","Ewes","IE063","Midland","000 Head","151.8"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","-","State","000 Head","2033.1"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE04","Northern and Western","000 Head","969.8"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE041","Border","000 Head","433.2"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE042","West","000 Head","536.6"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE05","Southern","000 Head","611.6"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE051","Mid-West","000 Head","86"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE052","South-East","000 Head","233.4"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE053","South-West","000 Head","292.2"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE06","Eastern and Midland","000 Head","451.8"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE06106","Dublin and Mid-East","000 Head","323"
"AAA09","Number of Livestock in June","2015","2015","02111","Ewes: 2 years and over","IE063","Midland","000 Head","128.7"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","-","State","000 Head","454.9"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE04","Northern and Western","000 Head","227.3"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE041","Border","000 Head","97"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE042","West","000 Head","130.4"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE05","Southern","000 Head","127"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE051","Mid-West","000 Head","18.8"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE052","South-East","000 Head","49.2"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE053","South-West","000 Head","59"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE06","Eastern and Midland","000 Head","100.5"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE06106","Dublin and Mid-East","000 Head","77.5"
"AAA09","Number of Livestock in June","2015","2015","02112","Ewes: under 2 years","IE063","Midland","000 Head","23.1"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","-","State","000 Head","75.8"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE04","Northern and Western","000 Head","37.9"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE041","Border","000 Head","16.2"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE042","West","000 Head","21.7"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE05","Southern","000 Head","21.4"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE051","Mid-West","000 Head","3.6"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE052","South-East","000 Head","7.6"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE053","South-West","000 Head","10.2"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE06","Eastern and Midland","000 Head","16.5"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE06106","Dublin and Mid-East","000 Head","12.1"
"AAA09","Number of Livestock in June","2015","2015","0212","Rams","IE063","Midland","000 Head","4.4"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","-","State","000 Head","2574.9"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE04","Northern and Western","000 Head","1237"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE041","Border","000 Head","534.4"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE042","West","000 Head","702.6"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE05","Southern","000 Head","747.4"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE051","Mid-West","000 Head","94.3"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE052","South-East","000 Head","290.3"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE053","South-West","000 Head","362.8"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE06","Eastern and Midland","000 Head","590.5"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE06106","Dublin and Mid-East","000 Head","425.2"
"AAA09","Number of Livestock in June","2015","2015","022","Other sheep","IE063","Midland","000 Head","165.3"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","-","State","000 Head","1536.9"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE04","Northern and Western","000 Head","457.7"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE041","Border","000 Head","410.4"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE042","West","000 Head","47.4"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE05","Southern","000 Head","693.8"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE051","Mid-West","000 Head","201.3"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE052","South-East","000 Head","207.1"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE053","South-West","000 Head","285.4"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE06","Eastern and Midland","000 Head","385.4"
"AAA09","Number of Livestock in June","2015","2015","03","Total pigs","IE06106","Dublin and Mid-East","000 Head","99"
